region,xh5,xi1,_v23,_v176,_v181,_v145,wage,education,experience,has_wage,gender,unempl_wage
1,2,1,45000,24,NA,10,45000,10,24,0,2,NA
1,1,2,NA,NA,NA,1,NA,1,NA,NA,1,NA
1,2,1,NA,10,NA,6,NA,6,10,NA,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,2,NA,NA,NA,1,NA,1,NA,NA,1,NA
1,2,2,12900,19,NA,11,12900,11,19,0,2,NA
1,2,1,NA,NA,NA,2,NA,2,NA,NA,2,NA
1,2,1,19000,17,NA,11,19000,11,17,0,2,NA
1,2,2,NA,NA,NA,1,NA,1,NA,NA,2,NA
1,2,2,25000,1,NA,5,25000,5,1,0,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,2,41000,20,NA,11,41000,11,20,0,1,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,NA,18,NA,5,NA,5,18,NA,2,NA
1,1,2,NA,10,30000,5,NA,5,10,NA,1,30000
1,1,1,65000,12,NA,4,65000,4,12,0,1,NA
1,2,1,30000,10,NA,2,30000,2,10,0,2,NA
1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,1,99999997,6,NA,6,99999997,6,6,0,2,NA
1,1,1,50000,99999997,100000,3,50000,3,99999997,0,1,100000
1,2,1,12500,99999997,NA,2,12500,2,99999997,0,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,2,30000,10,NA,3,30000,3,10,0,1,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,2,2,99999997,6,40000,4,99999997,4,6,0,2,40000
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,2,20000,99999997,NA,5,20000,5,99999997,0,1,NA
1,2,1,12000,2,NA,2,12000,2,2,0,2,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,20000,44,NA,3,20000,3,44,0,1,NA
1,2,1,NA,43,NA,3,NA,3,43,NA,2,NA
1,1,2,43000,1,NA,1,43000,1,1,0,1,NA
1,1,2,46000,0,NA,6,46000,6,0,0,1,NA
1,1,2,38000,0,NA,2,38000,2,0,0,1,NA
1,2,2,NA,3,NA,3,NA,3,3,NA,2,NA
1,2,1,NA,9,NA,5,NA,5,9,NA,2,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,20000,5,NA,5,20000,5,5,0,2,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,NA,34,NA,10,NA,10,34,NA,2,NA
1,2,1,NA,29,NA,4,NA,4,29,NA,2,NA
1,2,1,NA,36,NA,6,NA,6,36,NA,2,NA
1,1,1,NA,NA,NA,2,NA,2,NA,NA,1,NA
1,1,1,NA,44,NA,1,NA,1,44,NA,1,NA
1,1,1,18000,49,NA,6,18000,6,49,0,1,NA
1,1,1,15000,29,30000,2,15000,2,29,0,1,30000
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,NA,8,100000,3,NA,3,8,NA,1,100000
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,20000,10,NA,6,20000,6,10,0,2,NA
1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,2,99999997,0,NA,6,99999997,6,0,0,2,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,1,1,99999998,15,NA,6,99999998,6,15,0,1,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,2,1,99999997,12,NA,17,99999997,17,12,0,2,NA
1,2,2,11000,35,NA,3,11000,3,35,0,2,NA
1,2,1,NA,NA,NA,1,NA,1,NA,NA,2,NA
9,2,2,30000,13,NA,10,30000,10,13,0,2,NA
9,1,1,NA,99999996,NA,10,NA,10,99999996,NA,1,NA
9,2,1,NA,47,NA,10,NA,10,47,NA,2,NA
9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
9,1,2,60000,8,NA,10,60000,10,8,0,1,NA
9,2,2,NA,10,NA,10,NA,10,10,NA,2,NA
9,2,1,NA,99999997,NA,10,NA,10,99999997,NA,2,NA
9,2,1,NA,99999997,NA,2,NA,2,99999997,NA,2,NA
9,1,1,NA,NA,NA,4,NA,4,NA,NA,1,NA
9,1,1,NA,32,NA,2,NA,2,32,NA,1,NA
9,1,1,NA,NA,NA,2,NA,2,NA,NA,1,NA
9,2,2,50000,21,NA,10,50000,10,21,0,2,NA
9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
9,2,1,NA,30,NA,10,NA,10,30,NA,2,NA
9,1,1,NA,46,NA,13,NA,13,46,NA,1,NA
9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
9,2,1,NA,99999996,20000,1,NA,1,99999996,NA,2,20000
9,1,2,NA,18,NA,6,NA,6,18,NA,1,NA
9,2,1,25000,29,NA,2,25000,2,29,0,2,NA
9,1,2,NA,27,25000,3,NA,3,27,NA,1,25000
9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
9,1,2,40000,11,NA,3,40000,3,11,0,1,NA
