region,gender,relocated,wage,experience,education,age,other_work,health,marital_status,pension,power_ladder,wealth_ladder,NCAT1,NCAT2,NCAT3,NCAT4,NCAT5,NCAT6,total_hh_income,has_wage
1,2,1,20000,41,6,66,2,3,2,1,5,5,0,0,0,0,1,1,47050,TRUE
1,2,1,0,46,1,73,2,4,5,1,2,2,0,1,1,1,0,1,54300,FALSE
1,1,1,20000,3,1,22,2,1,1,2,5,4,0,1,1,1,0,1,54300,TRUE
1,2,1,15000,15,3,43,2,3,4,2,5,5,0,1,1,1,0,1,54300,TRUE
1,1,1,0,41,3,67,2,4,2,1,4,6,0,0,0,1,1,2,101706.88,FALSE
1,2,1,40000,25,10,44,2,2,2,2,7,7,0,0,0,1,1,2,101706.88,TRUE
1,2,1,0,54,1,94,2,4,5,1,4,5,0,0,0,1,1,2,101706.88,FALSE
1,2,1,0,37,6,66,2,3,2,1,3,3,0,0,0,1,1,2,101706.88,FALSE
1,2,1,45000,30,11,53,2,3,5,2,5,5,0,0,0,1,0,0,51623.33,TRUE
1,1,1,15000,45,6,66,2,3,2,1,5,5,0,0,0,0,1,1,80128.52,TRUE
1,2,2,20000,41,6,63,2,2,2,1,5,5,0,0,0,0,1,1,80128.52,TRUE
1,2,2,0,6,3,32,2,3,3,2,2,2,0,2,0,1,0,0,8000,FALSE
1,2,1,0,20,5,61,2,3,2,1,5,2,0,0,0,0,1,1,20000,FALSE
1,1,1,0,30,3,61,2,3,2,1,4,1,0,0,0,0,1,1,20000,FALSE
1,2,1,0,50,4,67,2,3,5,1,4,4,0,0,0,0,0,1,19500,FALSE
1,2,1,0,40,1,89,2,5,5,1,5,3,0,0,0,0,0,1,25150,FALSE
1,2,2,0,31,6,71,2,3,5,1,4,2,0,0,0,0,0,1,18610.5,FALSE
1,2,1,18000,25,6,46,2,2,2,2,6,7,0,0,2,1,0,0,82419.58,TRUE
1,1,1,30000,27,3,46,2,2,2,2,5,5,0,0,2,1,0,0,82419.58,TRUE
1,1,2,25000,3,6,22,2,2,1,2,4,4,0,0,2,1,0,0,82419.58,TRUE
1,1,2,45000,15,5,31,2,2,2,2,6,6,0,0,1,1,0,0,80000,TRUE
1,2,1,30000,10,3,36,2,3,2,2,5,4,0,0,1,1,0,0,80000,TRUE
1,2,1,0,32,4,69,2,3,5,1,3,3,0,0,0,0,0,1,18127.5,FALSE
1,2,1,0,25,4,64,2,4,5,1,4,2,0,0,1,0,0,1,47691.67,FALSE
1,1,1,30000,16,5,40,2,3,1,2,4,2,0,0,1,0,0,1,47691.67,TRUE
1,2,2,0,NA,1,17,2,2,1,2,2,2,0,4,1,1,0,0,19821.69,FALSE
1,2,1,15000,13,1,42,2,3,2,2,2,2,0,4,1,1,0,0,19821.69,TRUE
1,1,2,0,20,3,43,2,2,2,2,5,5,0,4,1,1,0,0,19821.69,FALSE
1,2,1,0,57,4,76,2,4,5,1,2,2,0,0,0,0,0,1,21177.5,FALSE
1,2,1,0,25,2,57,2,4,2,1,3,3,0,1,0,1,1,1,106066,FALSE
1,1,1,40000,31,3,61,2,3,2,1,5,5,0,1,0,1,1,1,106066,TRUE
1,2,2,40000,8,10,35,2,2,1,2,6,6,0,1,0,1,1,1,106066,TRUE
1,2,1,10000,44,1,69,2,3,5,1,5,5,0,0,0,0,0,1,25932.71,TRUE
1,1,1,50000,99999997,10,54,2,2,5,2,4,4,0,0,1,0,0,1,63100,TRUE
1,2,1,0,99999997,6,83,2,4,5,1,2,3,0,0,1,0,0,1,63100,FALSE
1,1,1,0,9,4,61,2,4,2,1,3,5,0,0,0,0,1,1,50213.13,FALSE
1,2,1,0,32,10,68,2,4,2,1,5,5,0,0,0,0,1,1,50213.13,FALSE
1,1,1,0,46,6,62,2,2,2,1,5,4,0,0,0,0,1,1,63185.36,FALSE
1,2,1,14800,29,6,59,2,2,2,1,6,5,0,0,0,0,1,1,63185.36,TRUE
1,1,1,40000,4,6,25,2,2,1,2,5,5,0,0,1,1,0,0,76000,TRUE
1,2,1,30000,30,10,49,2,2,1,2,5,4,0,0,1,1,0,0,76000,TRUE
1,2,1,44000,12,10,32,2,3,4,2,3,3,0,1,0,1,0,0,54000,TRUE
1,2,1,0,NA,1,19,2,3,1,2,5,2,2,0,0,3,0,0,45050,FALSE
